movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes
tt0800325,The Dirt,2019,107.0,"Biography,Comedy,Drama",7.0,26876
tt0800353,Nemesis,2010,83.0,Drama,6.6,67
tt0800369,Thor,2011,115.0,"Action,Adventure,Fantasy",7.0,683264
tt0803061,Red Dog,2011,92.0,"Biography,Comedy,Drama",7.4,15357
tt0803096,Warcraft,2016,123.0,"Action,Adventure,Fantasy",6.9,225557
tt0804463,Devil's Knot,2013,114.0,"Biography,Crime,Drama",6.1,18716
tt0804497,It's Kind of a Funny Story,2010,101.0,"Comedy,Drama,Romance",7.1,125583
tt0804509,The Mule,2013,100.0,"Comedy,Drama",6.2,653
tt0808245,A Letter to Elia,2010,60.0,Documentary,7.6,799
tt0808447,The Last Pogo Jumps Again,2013,200.0,"Documentary,Music",9.3,42
tt0808510,Tooth Fairy,2010,101.0,"Comedy,Family,Fantasy",5.0,37939
tt0810772,Belle du Seigneur,2012,104.0,"Drama,Romance",5.3,1125
tt0810815,Cross the Line,2010,87.0,Action,3.9,39
tt0810819,The Danish Girl,2015,119.0,"Biography,Drama,Romance",7.1,146873
tt0810856,Eyes of the Mothman,2011,150.0,Documentary,6.3,293
tt0810913,Jack and Jill,2011,91.0,Comedy,3.3,71361
tt0810922,Take Me Home Tonight,2011,97.0,"Comedy,Drama,Romance",6.3,48393
tt0811021,Plumíferos - Aventuras voladoras,2010,80.0,"Adventure,Animation,Family",4.0,165
tt0811069,Lavoe,2011,90.0,"Drama,Music",7.4,65
tt0811137,The Do-Deca-Pentathlon,2012,76.0,Comedy,6.0,1627
tt0813992,American Flyer,2010,100.0,Adventure,6.4,85
tt0814255,Percy Jackson & the Olympians: The Lightning Thief,2010,118.0,"Adventure,Family,Fantasy",5.9,165108
tt0815101,Ashes,2010,77.0,Drama,7.1,68
tt0815236,She's Out of My League,2010,104.0,"Comedy,Romance",6.4,117245
tt0816362,Card Subject to Change,2010,87.0,Documentary,6.7,223
tt0816442,The Book Thief,2013,131.0,"Drama,War",7.6,119023
tt0816462,Conan the Barbarian,2011,113.0,"Action,Adventure,Fantasy",5.2,90834
tt0816648,Shanghai Hotel,2011,110.0,Drama,6.3,36
tt0816692,Interstellar,2014,169.0,"Adventure,Drama,Sci-Fi",8.6,1299334
tt0816711,World War Z,2013,116.0,"Action,Adventure,Horror",7.0,553751
tt0817177,Flipped,2010,90.0,"Comedy,Drama,Romance",7.7,74937
tt0817230,Valentine's Day,2010,125.0,"Comedy,Romance",5.7,107171
tt0817545,The Power of Few,2013,96.0,"Action,Crime,Drama",5.2,3322
tt0818098,Dreamkiller,2010,110.0,Thriller,4.9,105
tt0821486,Manhattan Minutiae,2016,99.0,"Comedy,Music,Romance",5.6,19
tt0822847,Priest,2011,87.0,"Action,Adventure,Fantasy",5.7,108320
tt0825282,The Long Falling,2011,105.0,Drama,6.5,121
tt0825283,Maximum Ride,2016,88.0,"Action,Adventure,Comedy",3.7,3913
tt0825334,Caravaggio and My Mother the Pope,2018,90.0,"Comedy,Drama",8.9,51
tt0826532,Return to Yucca Flats: Desert Man-Beast,2010,79.0,"Comedy,Horror",5.8,21
tt0828135,Wild in the Streets,2012,82.0,Documentary,8.3,37
tt0829150,Dracula Untold,2014,92.0,"Action,Drama,Fantasy",6.3,164829
tt0829176,Gallowwalkers,2012,90.0,"Action,Horror,Thriller",3.6,6793
tt0831280,Waking Madison,2010,89.0,Drama,6.0,1317
tt0831387,Godzilla,2014,123.0,"Action,Adventure,Sci-Fi",6.4,350687
tt0831881,Land,2010,76.0,Documentary,7.4,33
tt0835418,The Babymakers,2012,95.0,Comedy,5.0,8147
tt0835775,Electric Slide,2014,95.0,"Action,Biography,Crime",4.6,701
tt0835802,Krystal,2017,90.0,"Comedy,Drama",5.3,846
tt0837156,Pee-wee's Big Holiday,2016,90.0,"Adventure,Comedy,Family",6.2,6362
tt0837559,Approaching Midnight,2013,86.0,"Crime,Drama,Romance",5.0,239
tt0837562,Hotel Transylvania,2012,91.0,"Animation,Comedy,Family",7.1,204571
tt0837563,Pet Sematary,2019,101.0,"Horror,Mystery,Thriller",6.0,34472
tt0839742,Bhopal: A Prayer for Rain,2014,96.0,Drama,7.3,1830
tt0840358,Everyday Sunshine: The Story of Fishbone,2010,107.0,"Documentary,Music",7.6,321
tt0840361,The Town,2010,125.0,"Crime,Drama,Thriller",7.6,322524
tt0841185,Whatever Happened to Pete Blaggit?,2012,94.0,"Comedy,Sci-Fi",6.6,50
tt0842926,The Kids Are All Right,2010,106.0,"Comedy,Drama,Romance",7.0,120656
tt0843839,The Fallen Word,2013,60.0,"Drama,Fantasy,Mystery",7.4,35
tt0844699,Ivan Mosjoukine ou L'enfant du carnaval,2016,67.0,Documentary,9.0,5
tt0844866,Killer by Nature,2010,94.0,"Adventure,Crime,Drama",3.9,257
tt0844915,Pox,2011,100.0,"Comedy,Sci-Fi",7.5,56
tt0844993,Hoodwinked Too! Hood vs. Evil,2011,86.0,"Animation,Comedy,Crime",4.8,11281
tt0846004,Gangster Exchange,2010,95.0,Action,4.6,436
tt0847180,Loot,2011,110.0,"Action,Comedy,Crime",3.6,278
tt0847215,Neowolf,2010,88.0,"Horror,Thriller",2.3,418
tt0847825,The Speed of Thought,2011,93.0,"Sci-Fi,Thriller",4.8,1503
tt0848228,The Avengers,2012,143.0,"Action,Adventure,Sci-Fi",8.1,1183655
tt0848537,Epic,2013,102.0,"Adventure,Animation,Family",6.7,95318
tt0848554,The Sighting,2016,98.0,"Horror,Sci-Fi,Thriller",3.8,747
tt0850247,Amsteroid,2018,98.0,Sci-Fi,5.6,13
tt0850677,Jack & Diane,2012,110.0,"Drama,Horror,Romance",4.5,2538
tt0850678,Jackson Arms,2015,90.0,Romance,6.1,15
tt0850709,Risen,2010,121.0,"Biography,Drama",5.3,182
tt0851471,Sir Billi,2012,76.0,"Adventure,Animation,Comedy",4.2,445
tt0852986,Naked Run,2011,84.0,Comedy,5.2,72
tt0853155,This Is What Love in Action Looks Like,2011,74.0,Documentary,6.8,198
tt0856796,Kolorádó Kid,2010,111.0,"Drama,Romance",6.0,135
tt0857190,The Sweeney,2012,112.0,"Action,Crime,Drama",6.1,18095
tt0858411,2001 Maniacs: Field of Screams,2010,84.0,"Comedy,Horror",3.3,2141
tt0858419,Bolden,2019,108.0,Drama,5.4,202
tt0858422,Immortal Island,2011,84.0,"Adventure,Horror,Thriller",5.6,87
tt0858500,Wide Blue Yonder,2010,82.0,"Comedy,Drama",5.7,69
tt0859635,Super Troopers 2,2018,99.0,"Comedy,Crime,Mystery",6.1,20104
tt0860907,Evangelion: 3.0 You Can (Not) Redo,2012,96.0,"Action,Animation,Drama",7.0,8215
tt0861747,Zenitram,2010,103.0,"Action,Adventure,Comedy",4.7,91
tt0862748,Lupin the 3rd,2014,133.0,"Action,Adventure,Comedy",5.6,1288
tt0862930,Dukun,2018,108.0,"Horror,Thriller",6.9,307
tt0864835,Mr. Peabody & Sherman,2014,92.0,"Adventure,Animation,Comedy",6.8,57277
tt0865557,Letting Go,2012,83.0,"Drama,Romance",6.5,75
tt0865561,6 Month Rule,2011,100.0,Comedy,4.9,595
tt0865911,Catharsis,2011,89.0,Mystery,6.6,11
tt0871893,"Surprise, Surprise",2010,83.0,Drama,4.9,162
tt0872230,My Soul to Take,2010,107.0,"Horror,Mystery,Thriller",4.8,18381
tt0873886,Red State,2011,88.0,"Action,Crime,Horror",6.2,59266
tt0874421,Beijing Taxi,2010,78.0,Documentary,6.8,55
tt0874426,The Secret Philosophy,2010,90.0,Thriller,7.6,15
tt0875613,Rift,2011,100.0,"Horror,Thriller",2.7,404
tt0875702,Bury the Hatchet,2010,120.0,Documentary,8.6,14
tt0878654,Bulletface,2010,82.0,Thriller,5.8,875
tt0878672,First Circle,2010,72.0,Documentary,7.0,33
tt0878814,Jewtopia,2012,90.0,"Comedy,Romance",4.5,1342
tt0878835,Please Give,2010,87.0,"Comedy,Drama",6.6,10652
tt0879405,Harm's Way,2010,82.0,Thriller,5.3,250
tt0879870,Eat Pray Love,2010,133.0,"Drama,Romance",5.8,77709
tt0880569,Mama I Want to Sing,2011,100.0,Musical,5.0,282
tt0881320,Sanctum,2011,108.0,"Adventure,Drama,Thriller",5.9,51318
tt0882741,AIR: The Musical,2010,100.0,"Comedy,Musical,Romance",7.2,59
tt0882977,Snitch,2013,112.0,"Action,Drama,Thriller",6.5,78142
tt0884214,Wreckage,2010,87.0,"Horror,Thriller",4.3,1045
tt0884726,Legends of Oz: Dorothy's Return,2013,88.0,"Adventure,Animation,Family",5.5,5351
tt0884732,The Wedding Ringer,2015,101.0,Comedy,6.7,66893
tt0887143,Hyenas,2011,92.0,Horror,2.8,952
tt0887161,Repo,2010,97.0,"Comedy,Drama",4.5,215
tt0887266,Rollerboy,2013,81.0,Documentary,8.3,13
tt0887751,Honor,2010,118.0,"Crime,Drama,Thriller",5.6,29
tt0889573,The Switch,2010,101.0,"Comedy,Drama,Romance",6.1,90661
tt0892062,Hamlet A.D.D.,2014,95.0,"Animation,Comedy,Fantasy",7.1,78
tt0892077,Gun of the Black Sun,2011,90.0,Fantasy,6.1,68
tt0892318,Letters to Juliet,2010,105.0,"Adventure,Comedy,Drama",6.6,86137
tt0892769,How to Train Your Dragon,2010,98.0,"Action,Adventure,Animation",8.1,611299
tt0892791,Shrek Forever After,2010,93.0,"Adventure,Animation,Comedy",6.3,167532
tt0893310,Blur,2011,90.0,"Drama,Mystery,Thriller",7.0,33
tt0893412,From Prada to Nada,2011,107.0,"Comedy,Drama,Romance",5.6,13644
tt0896872,The Whistleblower,2010,112.0,"Action,Biography,Crime",7.2,29826
tt0899145,Don't Fade Away,2010,89.0,Drama,5.4,302
tt0899154,The Key Man,2011,80.0,"Crime,Drama,Thriller",5.6,263
tt0900387,Suite Française,2014,107.0,"Drama,Romance,War",7.0,19978
tt0901504,Psych:9,2010,98.0,"Horror,Mystery,Thriller",4.5,2072
tt0903036,Westbrick Murders,2010,90.0,"Action,Crime,Thriller",2.7,351
tt0903624,The Hobbit: An Unexpected Journey,2012,169.0,"Adventure,Family,Fantasy",7.9,719629
tt0903657,Love & Mercy,2014,121.0,"Biography,Drama,Music",7.4,32238
tt0905372,The Thing,2011,103.0,"Horror,Mystery,Sci-Fi",6.2,111900
tt0906013,The Grind,2012,85.0,"Crime,Thriller",2.8,281
tt0906778,Black Butterflies,2011,100.0,"Biography,Drama",6.2,1941
tt0907305,Prey,2010,90.0,"Adventure,Drama,Horror",5.3,840
